Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2018-01-01,442.9993896484375,447.69274890212904,441.4777705784518,444.77811744925015,5431340
2018-01-02,441.3491516113281,446.62118848856863,438.47742401516865,444.5852473702186,6112248
2018-01-03,437.7487487792969,442.1635209546668,436.59147179952237,440.8348120050829,6846552
2018-01-04,435.21990966796875,437.62016652246405,432.7338975876529,437.62016652246405,8947614
2018-01-05,433.7626037597656,439.9347303250304,431.1908887177117,435.17704180072764,11025976
2018-01-08,444.0709228515625,445.3353285052694,437.212989803251,439.2918085250194,5594690
2018-01-09,446.3425598144531,447.8641787884393,441.0062721053254,445.76393440240054,9948236
2018-01-10,451.0144958496094,452.6218176452245,442.785029184729,448.67854243531787,9468634
2018-01-11,461.1085205078125,464.3660157107031,452.30037570263045,452.30037570263045,16775298
2018-01-12,462.2442626953125,465.4375064885168,458.8582135510906,465.3946550414385,18016528
2018-01-15,463.401611328125,468.4592859797883,456.5222529403942,462.90868883401316,10649250
2018-01-16,481.27508544921875,486.3971165716374,463.4445361860726,463.4445361860726,22646966
2018-01-17,493.81219482421875,497.9698326674486,481.33938593789384,482.13232103365095,26154088
2018-01-18,494.0693359375,499.29852162370435,485.23979079201285,490.7689889925974,13204970
2018-01-19,490.1045837402344,492.0119704970755,486.9113917564183,490.76896440237584,5988278
2018-01-22,492.9119873046875,495.89086925581745,485.19684315557066,485.26114648781396,9650214
2018-01-23,504.5276794433594,509.19963946167934,495.05520503218827,495.05520503218827,15403796
2018-01-24,508.2565612792969,523.3653848982543,500.4128106420643,503.54175107196266,20604718
2018-01-25,503.79901123046875,507.2279647834116,498.1626583634831,506.6278874473108,13548914
2018-01-29,507.0137023925781,512.7357587024759,499.4271105573243,500.00578838060517,10823002
2018-01-30,501.7630920410156,507.09938031289806,498.3555379054838,505.29920054740745,8628312
2018-01-31,493.0192565917969,500.02717035721565,489.54745138267657,496.83397810474617,9213698
